Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.21, 0.54, 4.739504
0.02, -0.1845867, -0.1282901, 0, -0.1845867, 1.243333, -0.1282901, 0, 0, 0, -3.64, 0, 5.046701
0.04, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.06, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.08, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.09999999, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.12, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.14, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.16, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.18, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.2, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.22, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.24, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.26, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.28, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.3, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.32, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.34, -0.6763613, -0.5926355, 0, -0.6763613, 1.243333, -0.5926355, 0, 0, 0, -3.64, 0, 4.394681
0.36, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, 0, 6.649448
0.38, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, 0, 6.649448
0.4, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, 0, 6.649448
0.42, 2.859936, -3.609957, 276.3705, 2.859936, 1.401997, -3.609957, 359.0073, 276.3705, 358.3981, -3.64, 0, 6.649448
0.44, 3.084836, -3.221571, 276.3705, 3.084836, 1.401997, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, 0, 6.8793
0.46, 3.084836, -3.221571, 276.3705, 3.084836, 1.401997, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, 0, 6.8793
0.48, 3.084836, -3.221571, 276.3705, 3.084836, 1.401997, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, 0, 6.8793
